Player,Team,Pos,Bye,ADP,Pass Yds,Pass TD,INT,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,FL,fg_20_29,fg_30_39,fg_40_49,fg_50p,xp_made,dst_sack,dst_int,dst_fum_rec,dst_td,dst_safety
Ladd McConkey,LAC,WR,5,27,0,0,0,10,0,88,1150,7,1,0,0,0,0,0,0,0,0,0,0
Jaxon Smith-Njigba,SEA,WR,8,31,0,0,0,0,0,86,1120,6,1,0,0,0,0,0,0,0,0,0,0
Tee Higgins,CIN,WR,10,33,0,0,0,0,0,76,1080,8,1,0,0,0,0,0,0,0,0,0,0
Davante Adams,LAR,WR,8,36,0,0,0,0,0,82,1100,8,1,0,0,0,0,0,0,0,0,0,0
Garrett Wilson,NYJ,WR,9,38,0,0,0,0,0,88,1090,6,1,0,0,0,0,0,0,0,0,0,0
Mike Evans,TB,WR,9,39,0,0,0,0,0,72,1080,9,1,0,0,0,0,0,0,0,0,0,0
Marvin Harrison Jr.,ARI,WR,8,41,0,0,0,0,0,80,1090,7,1,0,0,0,0,0,0,0,0,0,0
DK Metcalf,PIT,WR,5,46,0,0,0,0,0,72,1060,7,1,0,0,0,0,0,0,0,0,0,0
Terry McLaurin,WAS,WR,14,48,0,0,0,0,0,76,1050,7,1,0,0,0,0,0,0,0,0,0,0
DJ Moore,CHI,WR,5,53,0,0,0,20,0,82,1020,6,1,0,0,0,0,0,0,0,0,0,0
Courtland Sutton,DEN,WR,12,56,0,0,0,0,0,74,1040,6,1,0,0,0,0,0,0,0,0,0,0
Zay Flowers,BAL,WR,7,60,0,0,0,10,0,78,1000,5,1,0,0,0,0,0,0,0,0,0,0
Jaylen Waddle,MIA,WR,12,64,0,0,0,0,0,76,980,5,1,0,0,0,0,0,0,0,0,0,0
Jerry Jeudy,CLE,WR,9,72,0,0,0,0,0,74,960,5,1,0,0,0,0,0,0,0,0,0,0
Rashee Rice,KC,WR,10,66,0,0,0,0,0,72,940,6,1,0,0,0,0,0,0,0,0,0,0
George Pickens,DAL,WR,10,78,0,0,0,0,0,66,970,5,1,0,0,0,0,0,0,0,0,0,0
Chris Godwin,TB,WR,9,80,0,0,0,0,0,74,880,5,1,0,0,0,0,0,0,0,0,0,0
Calvin Ridley,TEN,WR,10,84,0,0,0,0,0,68,940,5,1,0,0,0,0,0,0,0,0,0,0
Rome Odunze,CHI,WR,5,88,0,0,0,0,0,68,900,6,1,0,0,0,0,0,0,0,0,0,0
Travis Hunter,JAC,WR,8,92,0,0,0,0,0,64,860,5,1,0,0,0,0,0,0,0,0,0,0
Jameson Williams,DET,WR,5,94,0,0,0,20,0,60,880,5,1,0,0,0,0,0,0,0,0,0,0
Khalil Shakir,BUF,WR,7,100,0,0,0,0,0,74,820,4,1,0,0,0,0,0,0,0,0,0,0
Ricky Pearsall,SF,WR,14,108,0,0,0,0,0,64,820,4,1,0,0,0,0,0,0,0,0,0,0
Jakobi Meyers,LV,WR,8,114,0,0,0,0,0,70,800,4,1,0,0,0,0,0,0,0,0,0,0
Matthew Golden,GB,WR,5,120,0,0,0,0,0,58,780,5,1,0,0,0,0,0,0,0,0,0,0
Brock Bowers,LV,TE,8,19,0,0,0,0,0,94,1120,7,1,0,0,0,0,0,0,0,0,0,0
Trey McBride,ARI,TE,8,23,0,0,0,0,0,90,980,6,1,0,0,0,0,0,0,0,0,0,0
George Kittle,SF,TE,14,29,0,0,0,0,0,68,900,7,1,0,0,0,0,0,0,0,0,0,0
Sam LaPorta,DET,TE,5,45,0,0,0,0,0,70,820,6,1,0,0,0,0,0,0,0,0,0,0
T.J. Hockenson,MIN,TE,6,55,0,0,0,0,0,72,800,5,1,0,0,0,0,0,0,0,0,0,0
Travis Kelce,KC,TE,10,58,0,0,0,0,0,74,780,5,1,0,0,0,0,0,0,0,0,0,0
Mark Andrews,BAL,TE,7,63,0,0,0,0,0,58,700,6,1,0,0,0,0,0,0,0,0,0,0
Evan Engram,DEN,TE,12,75,0,0,0,0,0,68,720,4,1,0,0,0,0,0,0,0,0,0,0
David Njoku,CLE,TE,9,79,0,0,0,0,0,64,700,5,1,0,0,0,0,0,0,0,0,0,0
Tucker Kraft,GB,TE,5,90,0,0,0,0,0,54,640,5,1,0,0,0,0,0,0,0,0,0,0
Colston Loveland,CHI,TE,5,116,0,0,0,0,0,50,580,4,1,0,0,0,0,0,0,0,0,0,0
Dallas Goedert,PHI,TE,9,126,0,0,0,0,0,52,560,4,1,0,0,0,0,0,0,0,0,0,0
Brandon Aubrey,DAL,K,10,130,0,0,0,0,0,0,0,0,0,5,10,11,6,40,0,0,0,0,0
Cameron Dicker,LAC,K,5,140,0,0,0,0,0,0,0,0,0,5,10,11,6,39,0,0,0,0,0
Chris Boswell,PIT,K,5,142,0,0,0,0,0,0,0,0,0,5,10,11,6,38,0,0,0,0,0
Jake Bates,DET,K,5,150,0,0,0,0,0,0,0,0,0,5,9,10,6,37,0,0,0,0,0
Ka'imi Fairbairn,HOU,K,6,152,0,0,0,0,0,0,0,0,0,5,9,10,5,36,0,0,0,0,0
Harrison Butker,KC,K,10,155,0,0,0,0,0,0,0,0,0,5,9,10,5,35,0,0,0,0,0
Tyler Bass,BUF,K,7,158,0,0,0,0,0,0,0,0,0,4,8,9,5,34,0,0,0,0,0
Younghoe Koo,ATL,K,5,162,0,0,0,0,0,0,0,0,0,4,8,9,5,33,0,0,0,0,0
Jason Sanders,MIA,K,12,165,0,0,0,0,0,0,0,0,0,4,8,9,4,32,0,0,0,0,0
Wil Lutz,DEN,K,12,168,0,0,0,0,0,0,0,0,0,4,7,8,4,31,0,0,0,0,0
Evan McPherson,CIN,K,10,170,0,0,0,0,0,0,0,0,0,4,7,8,4,30,0,0,0,0,0
Matt Gay,WAS,K,14,172,0,0,0,0,0,0,0,0,0,4,7,8,4,29,0,0,0,0,0
Denver,DEN,DST,12,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,16,11,4,1
Philadelphia,PHI,DST,9,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,16,11,4,1
Baltimore,BAL,DST,7,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,15,11,4,1
Houston,HOU,DST,6,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15,10,4,1
Pittsburgh,PIT,DST,5,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14,10,4,1
Minnesota,MIN,DST,6,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,10,3,1
Buffalo,BUF,DST,7,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,9,3,1
Detroit,DET,DST,5,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,9,3,1
Green Bay,GB,DST,5,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,9,3,1
Seattle,SEA,DST,8,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,8,3,1
Kansas City,KC,DST,10,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,8,2,1
Arizona,ARI,DST,8,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,8,2,1
